AFG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
54058;Head of Military Intelligence;Abdul Majid Zabuli;1943;1964;1999;SC;Dismal Enigma;High;M54004;X
54059;Head of Military Intelligence;Mohammed Etemadi Khan;1945;1964;1999;PA;Logistics Specialist;Medium;M54016;X
54060;Chief of Staff;Shah Mahmud Ghazi;1939;1964;1999;FA;School of Psychology;Medium;M54006;X
54061;Chief of Staff;Wazir Akbar Khan;1939;1964;1999;SC;School of Defence;Medium;M54018;X
54062;Chief of Staff;Nasirullah Husain;1943;1964;1999;SC;School of Fire Support;Medium;M54019;X
54063;Chief of Staff;Shah Wali Khan;1936;1964;1999;SC;School of Manoeuvre;Medium;M54042;X
54065;Chief of Army;Shah Wali Khan;1936;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M54042;X
54066;Chief of Army;Asadullah Seraj Khan;1939;1964;1999;SC;Elastic Defence Doctrine;Medium;M54031;X
54067;Chief of Army;Wazir Akbar Khan;1942;1964;1999;SC;Static Defence Doctrine;Medium;M54018;X
54068;Chief of Army;Gholam Wali;1943;1964;1999;SC;Guns and Butter Doctrine;Medium;M54063;X
54069;Chief of Army;Nasirullah Husain;1945;1964;1999;PA;Decisive Battle Doctrine;Medium;M54019;X
54070;Chief of Navy;Muhammed Hashim;1939;1964;1999;SC;Base Control Doctrine;Medium;M54002;X
54071;Chief of Navy;Mohammed Etemadi Khan;1943;1964;1999;SC;Indirect Approach Doctrine;Medium;M54016;X
54072;Chief of Navy;Ali Muhammed Khan;1944;1964;1999;SC;Power Projection Doctrine;Medium;M54020;X
54073;Chief of Navy;Nasirullah Husain;1945;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M54019;X
54074;Chief of Navy;Shah Wali Khan;1946;1964;1999;PA;Open Seas Doctrine;Medium;M54042;X
54075;Chief of Air Force;Gholam Wali;1937;1964;1999;FA;Vertical Envelopment Doctrine;Medium;M54063;X
54076;Chief of Air Force;Shah Wali Khan;1938;1964;1999;SC;Carpet Bombing Doctrine;Medium;M54042;X
54077;Chief of Air Force;Feruccio Serafini;1939;1964;1999;FA;Air Superiority Doctrine;Medium;M54038;X
54078;Chief of Air Force;Muhammed Zahir;1939;1964;1999;SC;Army Aviation Doctrine;Medium;M54009;X
54079;Chief of Air Force;Ali Muhammed Khan;1945;1964;1999;PA;Naval Aviation Doctrine;Medium;M54020;X
54011;Head of State;HRH Inayatullah Khan Seraj;1936;1964;1999;PA;Autocratic Charmer;High;AFGIna;X
54012;Head of Government;Muhammed Ghobar;1936;1964;1999;PA;Backroom Backstabber;High;M54012;X
54014;Minister of Armament;Abdul Hadi Dawai;1936;1964;1999;PA;Laissez-Faire Capitalist;Medium;M54014;X
54080;Foreign Minister;Mohammed Maiwandwal;1951;1964;1999;PA;Ideological Crusader;Medium;M54080;X
54081;Head of State;HRH Amanullah Khan;1936;1964;1999;FA;Die-hard Reformer;Very High;AFGAma;X
54082;Head of Government;Inayatullah Khan Seraj;1936;1964;1999;FA;Happy Amateur;High;AFGIna;X
54083;Head of State;Mohammed Nadir Shah;1936;1964;1999;SC;Benevolent Gentleman;High;AFGNad;X
54084;Head of State;Malik Habibullah Kalakani;1936;1964;1999;NS;Powerhungry Demagogue;High;AFGHab;X
54085;Head of Government;Malik Habibullah Kalakani;1936;1964;1999;NS;Happy Amateur;High;AFGHab;X
54086;Head of Government;Mohammed Nadir Shah;1936;1964;1999;SC;Old General;High;AFGNad;X
54087;Head of State;Abdul Majid Zabuli;1936;1964;1999;SL;Pig-headed Isolationist;Low;AFG_abdul_majid_zabuli;X
54088;Head of Government;Abdul Majid Zabuli;1936;1964;1999;SL;Corporate Suit;Low;AFG_abdul_majid_zabuli;X
54089;Minister of Armament;Abdul Majid Zabuli;1936;1964;1999;SL;Laissez-Faire Capitalist;Low;AFG_abdul_majid_zabuli;X
54090;Minister of Security;Dada Amir Haider Khan;1936;1964;1999;LE;Man of the People;Low;AFG_dada_amir_haider_khan;X
54091;Head of Military Intelligence;Dada Amir Haider Khan;1936;1964;1999;LE;Political Specialist;Low;AFG_dada_amir_haider_khan;X
54092;Minister of Armament;Ghulam Mohammad Farhad;1939;1964;1999;SD;Resource Industrialist;Medium;AFG_ghulam_mohammad_farhad;X
54093;Foreign Minister;Ghulam Mohammad Farhad;1939;1964;1999;SD;Biased Intellectual;Medium;AFG_ghulam_mohammad_farhad;X
54094;Head of State;Mir Gul Khan Nasir;1944;1964;1999;LWR;Stern Imperialist;Low;AFG_gul_khan_nasir;X
54095;Head of Government;Mir Gul Khan Nasir;1944;1964;1999;LWR;Happy Amateur;Low;AFG_gul_khan_nasir;X
54096;Head of State;Khan Abdul Ghaffar Khan;1936;1964;1999;LWR;Popular Figurehead;Low;AFG_khan_abdul_ghaffar_khan;X
54097;Head of Government;Dada Amir Haider Khan;1936;1964;1999;LE;Silent Workhorse;Low;AFG_dada_amir_haider_khan;X
54098;Head of Government;Khan Abdul Ghaffar Khan;1936;1964;1999;LWR;Flamboyant Tough Guy;Low;AFG_khan_abdul_ghaffar_khan;X
54099;Foreign Minister;Mohammad Hashim Maiwandwal;1949;1964;1999;SD;Great Compromiser;Medium;AFG_hashim;X
54100;Head of Government;Nur Muhammad Taraki;1947;1964;1999;ST;Silent Workhorse;Low;AFG_nur_muhammad_taraki;X
54101;Foreign Minister;Abdul Hadi Dawi;1936;1964;1999;PA;Great Compromiser;Medium;AFGDaw;X
